04/15/22:16:26:12, Log, @System, MidiBot initated
04/15/22:16:26:12, Log, @System, Settings files loaded successfully
04/15/22:16:32:46, Log, @System, MidiBot initated
04/15/22:16:32:46, Log, @System, Settings files loaded successfully
04/15/22:16:33:45, Log, @System, MidiBot initated
04/15/22:16:33:45, Log, @System, Settings files loaded successfully
04/15/22:16:34:59, Log, @System, MidiBot initated
04/15/22:16:34:59, Log, @System, Settings files loaded successfully
04/15/22:16:38:05, Command, default_user, !res
04/15/22:16:38:20, Log, @System, MidiBot initated
04/15/22:16:38:20, Log, @System, Settings files loaded successfully
04/15/22:16:38:25, Command, default_user, !res 100
04/15/22:16:38:28, Command, default_user, !res loop 0 100
04/15/22:16:38:32, Command, default_user, !res -1
04/15/22:16:38:34, Command, default_user, !res
04/15/22:16:41:30, Log, @System, MidiBot initated
04/15/22:16:41:30, Log, @System, Settings files loaded successfully
04/15/22:16:41:32, Command, default_user, !res
04/15/22:16:41:34, Command, default_user, !cutoff
04/15/22:16:41:55, Command, default_user, !res loop 0
04/15/22:16:42:02, Command, default_user, !res loop text
04/15/22:16:42:08, Command, default_user, !res loop 0
04/15/22:16:42:11, Command, default_user, !res loop 0 100
04/15/22:16:42:13, Command, default_user, !reset
04/15/22:16:42:14, Command, default_user, !clear
04/15/22:16:42:16, Command, default_user, !bpm
04/15/22:16:43:48, Log, @System, MidiBot initated
04/15/22:16:43:48, Log, @System, Settings files loaded successfully
04/15/22:16:43:49, Command, default_user, !res
04/15/22:16:43:51, Command, default_user, !
04/15/22:16:43:54, Command, default_user, !sadfsad
04/15/22:16:43:58, Command, default_user, !res 100
04/15/22:16:44:01, Command, default_user, !res loop 0 100
04/15/22:16:44:05, Command, default_user, !res loop 0 4
04/15/22:16:44:07, Command, default_user, !res loop 5 100
04/15/22:16:44:09, Command, default_user, !bpm 600
04/15/22:16:44:11, Command, default_user, !bpm 500
04/15/22:16:44:14, Command, default_user, !reset
04/15/22:16:44:15, Command, default_user, !reset
04/15/22:16:44:19, Command, default_user, !add synth
04/15/22:16:44:25, Command, default_user, !add synth c3-
04/15/22:16:44:34, Command, default_user, !add synth c3-a9[0-1]
04/15/22:16:44:49, Command, default_user, !add synth c3-a3-f3[4] f3-f4-g2-c#2[999]
04/15/22:16:44:53, Command, default_user, !reset
04/16/22:10:35:05, Log, @System, MidiBot initated
04/16/22:10:35:05, Log, @System, Settings files loaded successfully
04/16/22:10:35:15, Command, default_user, !res
04/16/22:10:35:17, Command, default_user, !synth
04/16/22:10:35:18, Command, default_user, !add
04/16/22:10:38:28, Log, @System, MidiBot initated
04/16/22:10:38:28, Log, @System, Settings files loaded successfully
04/16/22:10:38:30, Command, default_user, !add
04/16/22:10:39:50, Command, default_user, !choice
04/16/22:10:40:18, Command, default_user, !add synth c
04/16/22:10:40:31, Command, default_user, !add synth c d e f g
04/16/22:10:40:33, Command, default_user, !add synth sdf
04/16/22:10:41:33, Command, default_user, !reset
04/16/22:10:41:40, Command, default_user, !rand synth c c8
04/16/22:10:42:00, Command, default_user, !rand synth c[1] c8[4]
04/16/22:10:42:03, Command, default_user, !reset
04/16/22:10:42:18, Command, default_user, !rand synth c[0.1] c7 c6[7]
04/16/22:10:42:42, Command, default_user, !res
04/16/22:10:42:43, Command, default_user, !res 100
04/16/22:10:42:46, Command, default_user, !res loop 0 100
04/16/22:10:42:49, Command, default_user, !bpm 900
04/16/22:10:42:51, Command, default_user, !bpm 500
04/16/22:10:44:47, Command, default_user, !stop
04/16/22:10:44:49, Command, default_user, !start
04/16/22:10:44:50, Command, default_user, !clear
04/16/22:10:44:51, Command, default_user, !reset
04/16/22:10:44:56, Command, default_user, !add synth c[1]
04/16/22:10:45:16, Command, default_user, !bpm 500
04/16/22:10:45:18, Command, default_user, !reset
04/16/22:10:45:20, Command, default_user, !add synth c
04/16/22:10:45:23, Command, default_user, !reset
04/16/22:10:54:16, Log, @System, MidiBot initated
04/16/22:10:54:16, Log, @System, Settings files loaded successfully
04/16/22:10:54:31, Command, default_user, !add synth a2-c3-e3[4] g2-a2-c3[4]
04/16/22:10:55:15, Command, default_user, !choice synth d3 e3 f3 g4 a4
04/16/22:10:56:06, Command, default_user, !reset
04/16/22:10:56:56, Command, default_user, !add drums c1
04/16/22:10:56:58, Command, default_user, !reset
04/16/22:10:57:13, Command, default_user, !add drums c1
04/16/22:10:57:59, Command, default_user, !add synth c3-e3-f3-a3[4] rest[2] f3-a3-c3-e4[1] f3-a3-c3-d4[1]
04/16/22:10:58:39, Command, default_user, !add drums rest[1] d1[1]
04/16/22:10:59:03, Command, default_user, !add synth a1 a1 a1 a1 f1 f1 f1 f1
04/16/22:11:02:15, Command, default_user, !bpm 175
04/16/22:11:02:27, Command, default_user, !bpm 500
04/16/22:11:02:39, Command, default_user, !reset
04/16/22:11:20:18, Command, default_user, !rand synth c3 c4
04/16/22:11:20:25, Command, default_user, !reset
04/16/22:11:23:38, Log, @System, MidiBot initated
04/16/22:11:23:38, Log, @System, Settings files loaded successfully
04/16/22:11:23:41, Command, default_user, !res loop 0 100
04/16/22:11:23:53, Log, @System, MidiBot initated
04/16/22:11:23:53, Log, @System, Settings files loaded successfully
04/16/22:11:23:56, Command, default_user, !res loop 0 100
04/16/22:11:24:19, Log, @System, MidiBot initated
04/16/22:11:24:19, Log, @System, Settings files loaded successfully
04/16/22:11:25:14, Command, default_user, !res loop 0 100
04/16/22:11:25:26, Log, @System, MidiBot initated
04/16/22:11:25:26, Log, @System, Settings files loaded successfully
04/16/22:11:25:29, Command, default_user, !res loop 0 100
04/16/22:11:40:51, Log, @System, MidiBot initated
04/16/22:11:40:51, Log, @System, Settings files loaded successfully
04/16/22:17:12:02, Log, @System, MidiBot initated
04/16/22:17:12:03, Log, @System, Settings files loaded successfully
04/16/22:17:12:49, Log, @System, MidiBot initated
04/16/22:17:12:49, Log, @System, Settings files loaded successfully
04/16/22:17:12:52, Command, default_user, !res loop 0 100
04/16/22:17:12:58, Command, default_user, !res loop 3 50
04/16/22:17:14:31, Command, default_user, !dump
04/16/22:17:22:53, Log, @System, MidiBot initated
04/16/22:17:22:53, Log, @System, Settings files loaded successfully
04/16/22:17:22:56, Command, default_user, !res loop 0 100
04/16/22:17:22:59, Command, default_user, !res loop 4 50
04/16/22:17:23:04, Command, default_user, !res loop 5 60
04/16/22:17:23:33, Log, @System, MidiBot initated
04/16/22:17:23:33, Log, @System, Settings files loaded successfully
04/16/22:17:23:36, Command, default_user, !res loop 0 100
04/16/22:17:23:40, Command, default_user, !res loop 4 40
04/16/22:17:23:46, Command, default_user, !res loop 5 60
04/16/22:17:23:51, Command, default_user, !reset
04/16/22:17:23:55, Command, default_user, !res loop 0 100
04/16/22:17:23:57, Command, default_user, !reset
04/16/22:17:24:08, Command, default_user, !res 100
04/16/22:17:24:20, Command, default_user, !res loop 0 100
04/16/22:17:24:28, Command, default_user, !res loop 0 5
04/16/22:17:24:42, Command, default_user, !reset
04/16/22:17:24:44, Command, default_user, !res 0
04/16/22:17:24:46, Command, default_user, !res 64
04/16/22:17:24:49, Command, default_user, !res 65
04/16/22:17:26:02, Log, @System, MidiBot initated
04/16/22:17:26:02, Log, @System, Settings files loaded successfully
04/16/22:17:26:06, Command, default_user, !res loop 0 100
04/16/22:17:26:11, Command, default_user, !res loop 5 30
04/16/22:17:26:21, Command, default_user, !res 50
04/16/22:17:27:28, Command, default_user, !res 40
04/16/22:17:27:32, Command, default_user, !res 127
04/16/22:17:27:42, Command, default_user, !res loop 0[0.1] 127[4]
04/16/22:17:27:57, Command, default_user, !res 50
04/16/22:17:28:34, Log, @System, MidiBot initated
04/16/22:17:28:34, Log, @System, Settings files loaded successfully
04/16/22:17:28:38, Command, default_user, !res loop 0 127
04/16/22:17:28:42, Command, default_user, !res 50
04/16/22:17:28:46, Command, default_user, !res 60
04/16/22:17:28:50, Command, default_user, !res 30
04/16/22:17:30:38, Command, default_user, !res 50
04/16/22:17:30:42, Command, default_user, !res 127
04/16/22:17:30:44, Command, default_user, !res 0
04/16/22:17:30:54, Command, default_user, !res loop 5[0.1] 40[2]
04/16/22:17:31:00, Command, default_user, !res 127
04/16/22:17:31:29, Log, @System, MidiBot initated
04/16/22:17:31:29, Log, @System, Settings files loaded successfully
04/16/22:17:31:31, Command, default_user, !res 50
04/16/22:17:32:37, Log, @System, MidiBot initated
04/16/22:17:32:37, Log, @System, Settings files loaded successfully
04/16/22:17:34:40, Log, @System, MidiBot initated
04/16/22:17:34:40, Log, @System, Settings files loaded successfully
04/16/22:17:34:43, Command, default_user, !res 0[1]
04/16/22:17:34:58, Log, @System, MidiBot initated
04/16/22:17:34:58, Log, @System, Settings files loaded successfully
04/16/22:17:35:03, Command, default_user, !res 0[1]
04/16/22:17:35:07, Command, default_user, !res 100[5]
04/16/22:17:35:11, Command, default_user, !res 10
04/16/22:17:35:18, Command, default_user, !res 50 5 60 5 60 5
04/16/22:17:36:02, Command, default_user, !res loop 0[0.1] 127[0.1]
04/16/22:17:36:06, Command, default_user, !bpm 500
04/16/22:17:36:33, Command, default_user, !reset
04/16/22:17:36:35, Command, default_user, !res 0
04/16/22:17:36:36, Command, default_user, !res 50
04/16/22:17:36:38, Command, default_user, !res 0
04/16/22:17:39:42, Log, @System, MidiBot initated
04/16/22:17:39:43, Log, @System, Settings files loaded successfully
04/16/22:17:39:44, Command, default_user, !res 50
04/16/22:17:39:52, Command, default_user, !res 60
04/16/22:17:39:55, Command, default_user, !res 0
04/16/22:17:39:57, Command, default_user, !res 100
04/16/22:17:40:02, Command, default_user, !res loop 0 100
04/16/22:17:40:05, Command, default_user, !reset
04/16/22:17:40:07, Command, default_user, !res 120
04/16/22:17:40:29, Log, @System, MidiBot initated
04/16/22:17:40:29, Log, @System, Settings files loaded successfully
04/16/22:17:40:32, Command, default_user, !res 120
04/16/22:17:40:34, Command, default_user, !res 40
04/16/22:17:41:34, Command, default_user, !add synth c3
04/16/22:17:41:43, Command, default_user, !res 64
04/16/22:17:41:46, Command, default_user, !ress 543
04/16/22:17:41:50, Command, default_user, !res 64[-0]
04/16/22:17:41:55, Command, default_user, !res 64[ 65
04/16/22:17:41:58, Command, default_user, !res 65
04/16/22:17:42:00, Command, default_user, !res 50
04/16/22:17:42:07, Command, default_user, !res loop 50 60
04/16/22:17:42:22, Command, default_user, !res loop 60 100
04/16/22:17:42:32, Command, default_user, !reset
04/16/22:17:43:35, Log, @System, MidiBot initated
04/16/22:17:43:35, Log, @System, Settings files loaded successfully
04/16/22:17:43:38, Command, default_user, !add synth c3
04/16/22:17:43:41, Command, default_user, !add synth d3
04/16/22:17:43:44, Command, default_user, !reset
04/16/22:17:44:05, Log, @System, MidiBot initated
04/16/22:17:44:05, Log, @System, Settings files loaded successfully
04/16/22:17:44:07, Command, default_user, !add synth c3
04/16/22:17:44:10, Command, default_user, !add synth c4
04/16/22:17:44:13, Command, default_user, !reset
04/16/22:17:44:24, Command, default_user, !choice synth c3 d4 e3
04/16/22:17:44:28, Command, default_user, !add synth c4
04/16/22:17:44:33, Command, default_user, !reset
04/16/22:17:44:40, Command, default_user, !choice synth a2 b2 e3
04/16/22:17:44:48, Command, default_user, !choice synth b4 f4 g5
04/16/22:17:44:55, Command, default_user, !add synth c2
04/16/22:17:44:57, Command, default_user, !reset
04/16/22:17:49:41, Log, @System, MidiBot initated
04/16/22:17:49:41, Log, @System, Settings files loaded successfully
04/16/22:17:49:44, Command, default_user, !add synth c3
04/16/22:17:49:47, Command, default_user, !add synth c4
04/16/22:17:49:49, Command, default_user, !add synth c5
04/16/22:17:50:13, Log, @System, MidiBot initated
04/16/22:17:50:13, Log, @System, Settings files loaded successfully
04/16/22:17:50:21, Command, default_user, !choice synth c2 c3
04/16/22:17:50:30, Command, default_user, !choice synth a2 a3 b4 b5
04/16/22:17:50:42, Command, default_user, !choice c3-e3-f3
04/16/22:17:50:47, Command, default_user, !choice synth c3-e3-f3
04/16/22:17:51:08, Command, default_user, !add synth c3
